/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.00623 L2 ic loss: 0.00068 L2 f loss: 0.03242 loss: 0.09814 :  11% 54/500 [01:37<13:17,  1.79s/it]
L2 data loss: 0.00622 L2 ic loss: 0.00068 L2 f loss: 0.03226 loss: 0.09786 :  11% 54/500 [01:38<13:17,  1.79s/it]
L2 data loss: 0.00622 L2 ic loss: 0.00068 L2 f loss: 0.03226 loss: 0.09786 :  11% 55/500 [01:38<13:15,  1.79s/it]
L2 data loss: 0.00621 L2 ic loss: 0.00068 L2 f loss: 0.03206 loss: 0.09751 :  11% 55/500 [01:40<13:15,  1.79s/it]
L2 data loss: 0.00621 L2 ic loss: 0.00068 L2 f loss: 0.03206 loss: 0.09751 :  11% 56/500 [01:40<13:13,  1.79s/it]
L2 data loss: 0.00620 L2 ic loss: 0.00068 L2 f loss: 0.03212 loss: 0.09747 :  11% 56/500 [01:42<13:13,  1.79s/it]
L2 data loss: 0.00620 L2 ic loss: 0.00068 L2 f loss: 0.03212 loss: 0.09747 :  11% 57/500 [01:42<13:11,  1.79s/it]
L2 data loss: 0.00619 L2 ic loss: 0.00068 L2 f loss: 0.03185 loss: 0.09710 :  11% 57/500 [01:44<13:11,  1.79s/it]
L2 data loss: 0.00619 L2 ic loss: 0.00068 L2 f loss: 0.03185 loss: 0.09710 :  12% 58/500 [01:44<13:09,  1.79s/it]
L2 data loss: 0.00618 L2 ic loss: 0.00068 L2 f loss: 0.03242 loss: 0.09761 :  12% 58/500 [01:46<13:09,  1.79s/it]
L2 data loss: 0.00618 L2 ic loss: 0.00068 L2 f loss: 0.03242 loss: 0.09761 :  12% 59/500 [01:46<13:07,  1.79s/it]
L2 data loss: 0.00617 L2 ic loss: 0.00067 L2 f loss: 0.03085 loss: 0.09593 :  12% 59/500 [01:47<13:07,  1.79s/it]
L2 data loss: 0.00617 L2 ic loss: 0.00067 L2 f loss: 0.03085 loss: 0.09593 :  12% 60/500 [01:47<13:05,  1.79s/it]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03090 loss: 0.09588 :  12% 60/500 [01:49<13:05,  1.79s/it]
